hash,block_number,block_date,block_timestamp,from_address,to_address,value_eth,gas_used,gas_price_gwei,gas_cost_eth,is_error
0x28263f28686668a923fcfff96ad6829ed87f4ec5067d01bae43aa4d79d631cd0,24786508,2026-04-01,1775067707,0x9b0fc24ebed87e14e86042352b4a1da087a5dae8,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,2e-06,21062,0.354758229,7.471917819198e-06,0
0x5d6b98a233227f14d0907c45d0653d1b8657bb596543353722b58a07e2f07a69,24785906,2026-04-01,1775060471,0xf76bfc89ea5375628b55a8c4bc9cda4916d7ce87,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,9.3145607806121e-05,21062,0.326452889,6.875750748118e-06,0
0xc516141304cbee5067937a114c5922c9a13c8e94ef9cf6949eebf659ca99eca8,24782276,2026-04-01,1775016671,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-09,21062,0.134190242,2.826314877004e-06,0
0xaad1fd5d1d363a7f6189b8f41debcbec58bcd9ab7bdd56af54971419179daf15,24782174,2026-04-01,1775015435,0x60adc1a949ebc3c6e3215924717924efe4402f44,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0.0,21062,2.117977712,4.4608846570144e-05,0
0xbf963a487873500547c472e7180384ec072f7f9317e010c2cf9fe6f2b4f9ffde,24782171,2026-04-01,1775015399,0x3c77c73feaf9a35564119e4c11c83bbba35c41ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-07,21062,0.119360028,2.513960909736e-06,0
0x0b66920165777cb4d4fac5a25eb2bdf3fe46d7a292ba72ee8ce59b78bc8d8a8b,24781937,2026-04-01,1775012567,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-09,21062,0.13509179,2.84530328098e-06,0
0x066a1892f4d5bed48c44b560d7549284c9b90f383f217c86af670f0f3b3727b5,24781874,2026-04-01,1775011811,0x3c77c73feaf9a35564119e4c11c83bbba35c41ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-07,21062,0.136934326,2.884110774212e-06,0
0xde9b8e2e3e4b865e690c061f3b6c2ef2750cf138f516cd4704f65c5fb7e1b132,24781855,2026-04-01,1775011583,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-09,21062,0.154422755,3.25245206581e-06,0
0xe0f2d54069065ad452cf93fc856fb5d6ef24e0c4b65be1d330d9e14a63cc05e9,24781770,2026-04-01,1775010527,0x3c77c73feaf9a35564119e4c11c83bbba35c41ab,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1e-07,21062,0.104608286,2.203259719732e-06,0
0x5009ed81fcf5e9fd2faa6404166b5049d9b9ff916770cff2d857b38f3fa5bbe8,24781730,2026-04-01,1775010047,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0x3c7779d27348017415a9184acadc0d62052841ab,5.0,21000,0.135330118,2.841932478e-06,0
